"CASE_ID","ACCIDENT_YEAR","PROC_DATE","JURIS","COLLISION_DATE","COLLISION_TIME","OFFICER_ID","REPORTING_DISTRICT","DAY_OF_WEEK","CHP_SHIFT","POPULATION","CNTY_CITY_LOC","SPECIAL_COND","BEAT_TYPE","CHP_BEAT_TYPE","CITY_DIVISION_LAPD","CHP_BEAT_CLASS","BEAT_NUMBER","PRIMARY_RD","SECONDARY_RD","DISTANCE","DIRECTION","INTERSECTION","WEATHER_1","WEATHER_2","STATE_HWY_IND","CALTRANS_COUNTY","CALTRANS_DISTRICT","STATE_ROUTE","ROUTE_SUFFIX","POSTMILE_PREFIX","POSTMILE","LOCATION_TYPE","RAMP_INTERSECTION","SIDE_OF_HWY","TOW_AWAY","COLLISION_SEVERITY","NUMBER_KILLED","NUMBER_INJURED","PARTY_COUNT","PRIMARY_COLL_FACTOR","PCF_CODE_OF_VIOL","PCF_VIOL_CATEGORY","PCF_VIOLATION","PCF_VIOL_SUBSECTION","HIT_AND_RUN","TYPE_OF_COLLISION","MVIW","PED_ACTION","ROAD_SURFACE","ROAD_COND_1","ROAD_COND_2","LIGHTING","CONTROL_DEVICE","CHP_ROAD_TYPE","PEDESTRIAN_ACCIDENT","BICYCLE_ACCIDENT","MOTORCYCLE_ACCIDENT","TRUCK_ACCIDENT","NOT_PRIVATE_PROPERTY","ALCOHOL_INVOLVED","STWD_VEHTYPE_AT_FAULT","CHP_VEHTYPE_AT_FAULT","COUNT_SEVERE_INJ","COUNT_VISIBLE_INJ","COUNT_COMPLAINT_PAIN","COUNT_PED_KILLED","COUNT_PED_INJURED","COUNT_BICYCLIST_KILLED","COUNT_BICYCLIST_INJURED","COUNT_MC_KILLED","COUNT_MC_INJURED","PRIMARY_RAMP","SECONDARY_RAMP","LATITUDE","LONGITUDE","COUNTY","CITY","POINT_X","POINT_Y"
"81386057","2021","2021-01-12","1942","2021-01-09","1455","30947","0719","6","5","7","1942","0","0","0","G","0","7A17","N LUCERNE BL","BEVERLY BL","0.00",,"Y","A","-","N",,,,,,,,,,"Y","4","0","1","2","A","-","09","21802",,"N","D","C","A","A","H","-","A","A","0",,,"Y",,"Y",,"A","01","0","0","1","0","0","0","0","0","1","- ","- ",,,"LOS ANGELES","LOS ANGELES","-118.3248291015625","34.07623291015625"
"81386600","2021","2021-01-13","1942","2021-01-11","1440","34959","0813","1","5","7","1942","0","0","0","H","0","8A13","SUNSET BOULEVARD","GUNSTON DRIVE","314.00","E","N","A","-","N",,,,,,,,,,"Y","1","1","0","3","A","-","05","21650",,"N","A","C","A","A","H","-","A","D","0",,,"Y",,"Y","Y","C","02","0","0","0","0","0","0","0","1","0","- ","- ",,,"LOS ANGELES","LOS ANGELES","-118.46854400634766","34.071571350097656"
"81386739","2021","2021-01-13","1942","2021-01-10","1153","34959","0898","7","5","7","1942","0","0","0","H","0","8A95","ROBERTSON BOULEVARD","OLIN STREET","33.00","S","N","A","-","N",,,,,,,,,,"Y","3","0","1","3","A","-","07","21658",,"F","C","C","A","A","H","-","A","D","0",,,"Y",,"Y",,"-","99","0","1","0","0","0","0","0","0","1","- ","- ",,,"LOS ANGELES","LOS ANGELES","-118.38893127441406","34.036380767822266"
"81395130","2021","2021-01-27","1942","2021-01-26","1400","38013",,"2","5","7","1942","0","0","0",,"0",,"300 LA BREA AV","5700 3RD ST","0.00",,"Y","A","-","N",,,,,,,,,,"Y","2","0","1","2","A","-","09","21801",,"N","D","C","A","A","H","-","A","A","0",,,"Y",,"Y",,"D","22","1","0","0","0","0","0","0","0","1","- ","- ",,,"LOS ANGELES","LOS ANGELES","-118.34403228759766","34.068904876708984"
"81400706","2021","2021-02-02","1942","2021-01-19","1330","37511","2055","2","5","7","1942","0","0","0",,"0","20A53","S NORMANDIE AV","W 12TH ST","0.00",,"Y","A","-","N",,,,,,,,,,"N","4","0","1","2","A","-","07","21658",,"N","B","C","A","A","H","-","A","A","0",,,"Y",,"Y",,"A","01","0","0","1","0","0","0","0","0","1","- ","- ",,,"LOS ANGELES","LOS ANGELES","-118.29998016357422","34.049068450927734"
"81401349","2021","2021-02-03","1933","2021-01-25","0856","869","34","1","5","6","1933","0","0","0",,"0","004","PRAIRIE AV","109TH ST","36.00","S","N","A","-","N",,,,,,,,,,"N","4","0","1","2","A","-","17","21663",,"N","D","C","A","A","H","-","A","D","0",,,"Y",,"Y",,"C","03","0","0","1","0","0","0","0","0","1","- ","- ","33.936798095703125","-118.34390258789062","LOS ANGELES","INGLEWOOD","-118.34391784667969","33.936653137207031"
"81401350","2021","2021-02-03","1933","2021-01-25","1319","869","27","1","5","6","1933","0","0","0",,"0","002","CENTURY BLVD","PRAIRIE AV","0.00",,"Y","A","-","N",,,,,,,,,,"N","4","0","2","2","A","-","03","22350",,"N","C","C","A","A","H","-","A","A","0",,,"Y",,"Y",,"C","03","0","0","2","0","0","0","0","0","2","- ","- ","33.945468902587891","-118.34391784667969","LOS ANGELES","INGLEWOOD","-118.34394836425781","33.945453643798828"
"81405435","2021","2021-02-09","1942","2021-02-06","0810","34959","1456","6","5","7","1942","0","0","0","N","0","14A49","CULVER BOULEVARD","INGLEWOOD BOULEVARD","0.00",,"Y","A","-","N",,,,,,,,,,"Y","4","0","1","1","A","-","03","22350",,"N","E","I","A","A","H","-","A","D","0",,,"Y",,"Y",,"C","02","0","0","1","0","0","0","0","0","1","- ","- ",,,"LOS ANGELES","LOS ANGELES","-118.41808319091797","33.995033264160156"
"81409635","2021","2021-02-17","1933","2021-02-16","0946","826","12","2","5","6","1933","0","0","0",,"0","003","8TH AV","CRENSHAW BLVD","5.00","E","N","A","-","N",,,,,,,,,,"Y","3","0","1","1","A","-","03","22350",,"N","E","I","A","A","H","-","A","B","0",,,"Y",,"Y",,"C","02","0","1","0","0","0","0","0","0","1","- ","- ","33.961750030517578","-118.32671356201172","LOS ANGELES","INGLEWOOD","-118.32672882080078","33.961776733398438"
"81409907","2021","2021-02-17","1942","2021-02-10","1740","41126","0737","3","5","7","1942","0","0","0","G","0","7A17","W 6TH ST","S SYCAMORE AV","0.00",,"Y","A","-","N",,,,,,,,,,"Y","2","0","1","2","A","-","09","21801",,"N","D","C","A","A","H","-","B","D","0",,,"Y",,"Y",,"A","01","1","0","0","0","0","0","0","0","1","- ","- ",,,"LOS ANGELES","LOS ANGELES","-118.34291076660156","34.064918518066406"
