"CASE_ID","ACCIDENT_YEAR","PROC_DATE","JURIS","COLLISION_DATE","COLLISION_TIME","OFFICER_ID","REPORTING_DISTRICT","DAY_OF_WEEK","CHP_SHIFT","POPULATION","CNTY_CITY_LOC","SPECIAL_COND","BEAT_TYPE","CHP_BEAT_TYPE","CITY_DIVISION_LAPD","CHP_BEAT_CLASS","BEAT_NUMBER","PRIMARY_RD","SECONDARY_RD","DISTANCE","DIRECTION","INTERSECTION","WEATHER_1","WEATHER_2","STATE_HWY_IND","CALTRANS_COUNTY","CALTRANS_DISTRICT","STATE_ROUTE","ROUTE_SUFFIX","POSTMILE_PREFIX","POSTMILE","LOCATION_TYPE","RAMP_INTERSECTION","SIDE_OF_HWY","TOW_AWAY","COLLISION_SEVERITY","NUMBER_KILLED","NUMBER_INJURED","PARTY_COUNT","PRIMARY_COLL_FACTOR","PCF_CODE_OF_VIOL","PCF_VIOL_CATEGORY","PCF_VIOLATION","PCF_VIOL_SUBSECTION","HIT_AND_RUN","TYPE_OF_COLLISION","MVIW","PED_ACTION","ROAD_SURFACE","ROAD_COND_1","ROAD_COND_2","LIGHTING","CONTROL_DEVICE","CHP_ROAD_TYPE","PEDESTRIAN_ACCIDENT","BICYCLE_ACCIDENT","MOTORCYCLE_ACCIDENT","TRUCK_ACCIDENT","NOT_PRIVATE_PROPERTY","ALCOHOL_INVOLVED","STWD_VEHTYPE_AT_FAULT","CHP_VEHTYPE_AT_FAULT","COUNT_SEVERE_INJ","COUNT_VISIBLE_INJ","COUNT_COMPLAINT_PAIN","COUNT_PED_KILLED","COUNT_PED_INJURED","COUNT_BICYCLIST_KILLED","COUNT_BICYCLIST_INJURED","COUNT_MC_KILLED","COUNT_MC_INJURED","PRIMARY_RAMP","SECONDARY_RAMP","LATITUDE","LONGITUDE","COUNTY","CITY","POINT_X","POINT_Y"
"81385558","2021","2021-01-12","3300","2021-01-06","1516","4546","910U","3","5","5","3335","0","0","0",,"0","070","REDHAWK PKY","WOLF VALLEY RD","0.00",,"Y","A","-","N",,,,,,,,,,"N","3","0","1","1","A","-","03","22350",,"N","H","A","A","A","G","-","A","D","0",,,"Y",,"Y",,"C","02","0","1","0","0","0","0","0","0","1","- ","- ","33.467998504638672","-117.09564208984375","RIVERSIDE","TEMECULA","-117.09593963623047","33.467994689941406"
"81387166","2021","2021-01-14","3306","2021-01-04","1651","746",,"1","5","3","3306","0","0","0",,"0",,"PIERSON BLVD","PALM DR","0.00",,"Y","A","-","N",,,,,,,,,,"N","4","0","1","2","A","-","09","21453","B","N","D","C","A","A","H","-","B","A","0",,,"Y",,"Y",,"A","07","0","0","1","0","0","0","0","0","1","- ","- ",,,"RIVERSIDE","DESERT HOT SPRINGS","-116.50141143798828","33.961471557617188"
"81391018","2021","2021-01-20","3300","2021-01-17","1719","5228","910Q","7","5","5","3335","0","0","0",,"0","069","TEMECULA PKY","JEDEDIAH SMITH RD","0.00",,"Y","A","-","N",,,,,,,,,,"Y","2","0","2","5","A","-","01","23153","B","N","D","C","A","A","H","-","B","A","0",,,"Y",,"Y","Y","D","22","2","0","0","0","0","0","0","0","0","- ","- ","33.476100921630859","-117.12265014648438","RIVERSIDE","TEMECULA","-117.12267303466797","33.476184844970703"
"81394719","2021","2021-01-27","3300","2021-01-10","1030","5237","905M","7","5","4","3307","0","0","0",,"0","092","LAKESHORE DR","BENEDICT AVE","0.00",,"Y","A","-","N",,,,,,,,,,"N","3","0","1","2","A","-","09","21802","A","N","D","C","A","A","H","-","A","A","0",,,"Y",,"Y",,"C","06","0","1","0","0","0","0","0","0","1","- ","- ","33.677040100097656","-117.35047149658203","RIVERSIDE","LAKE ELSINORE","-117.35053253173828","33.677017211914062"
"81395430","2021","2021-01-28","3300","2021-01-25","1245","N4544","602 E","1","5","6","3394","0","0","0",,"0","MV28","ROSEBAY CT","RAENETTE WAY","381.00","E","N","B","-","N",,,,,,,,,,"N","3","0","1","3","A","-","03","22350",,"N","C","E","A","A","H","-","A","D","0",,,"Y",,"Y",,"C","02","0","1","0","0","0","0","0","0","1","- ","- ","33.933200836181641","-117.21492004394531","RIVERSIDE","MORENO VALLEY","-117.21382141113281","33.933158874511719"
"81404774","2021","2021-02-09","3300","2021-02-04","1850","N6426","910A","4","5","5","3335","0","0","0",,"0","062","DATE ST","MARGARITA RD","32.00","W","N","A","-","N",,,,,,,,,,"Y","4","0","1","2","A","-","01","23152","A","N","C","C","A","A","H","-","C","A","0",,,"Y",,"Y","Y","A","01","0","0","1","0","0","0","0","0","1","- ","- ","33.545391082763672","-117.15473175048828","RIVERSIDE","TEMECULA","-117.15483856201172","33.545238494873047"
"81404818","2021","2021-02-09","3300","2021-01-16","1540","4850","602 D","6","5","6","3394","0","0","0",,"0","MV26","INDIAN ST","BAY AVE","55.00","N","N","A","-","N",,,,,,,,,,"Y","3","0","1","1","A","-","03","22350",,"N","F","A","A","A","H","-","A","A","0",,,"Y",,"Y",,"C","02","0","1","0","0","0","0","0","0","1","- ","- ","33.920829772949219","-117.23500823974609","RIVERSIDE","MORENO VALLEY","-117.23500823974609","33.921051025390625"
"81404825","2021","2021-02-09","3300","2021-01-30","2218","5059","601 E","6","5","6","3394","0","0","0",,"0","MV16","PERRIS BLVD","IRONWOOD AVE","0.00",,"Y","A","-","N",,,,,,,,,,"N","4","0","1","2","A","-","09","21453","B","N","D","C","A","B","H","-","C","A","0",,,"Y",,"Y",,"C","06","0","0","1","0","0","0","0","0","0","- ","- ","33.946510314941406","-117.22618103027344","RIVERSIDE","MORENO VALLEY","-117.22643280029297","33.946666717529297"
"81406457","2021","2021-02-11","3300","2021-02-07","1337","4252","601 E","7","5","6","3394","0","0","0",,"0","MV16","KALMIA ST","PERRIS BLVD","330.00","E","N","A","-","N",,,,,,,,,,"N","3","0","1","1","A","-","03","22350",,"N","F","A","A","A","H","-","A","D","0",,,"Y",,"Y",,"C","02","0","1","0","0","0","0","0","0","1","- ","- ","33.953910827636719","-117.22643280029297","RIVERSIDE","MORENO VALLEY","-117.22529602050781","33.9539794921875"
"81407355","2021","2021-02-12","3315","2021-02-06","1345","001041","13D","6","5","6","3315","0","0","0",,"0","003","ONTARIO AV","15 SOUTH BOUND ON RAMP","78.00","E","N","A","-","N",,,,,,,,,,"Y","3","0","1","1","A","-","08","22107",,"N","H","J","A","A","H","-","A","A","0",,,"Y",,"Y",,"C","02","0","1","0","0","0","0","0","0","1","- ","- ","33.844551086425781","-117.53559875488281","RIVERSIDE","CORONA","-117.535504","33.844296999999997"
