"CASE_ID","ACCIDENT_YEAR","PROC_DATE","JURIS","COLLISION_DATE","COLLISION_TIME","OFFICER_ID","REPORTING_DISTRICT","DAY_OF_WEEK","CHP_SHIFT","POPULATION","CNTY_CITY_LOC","SPECIAL_COND","BEAT_TYPE","CHP_BEAT_TYPE","CITY_DIVISION_LAPD","CHP_BEAT_CLASS","BEAT_NUMBER","PRIMARY_RD","SECONDARY_RD","DISTANCE","DIRECTION","INTERSECTION","WEATHER_1","WEATHER_2","STATE_HWY_IND","CALTRANS_COUNTY","CALTRANS_DISTRICT","STATE_ROUTE","ROUTE_SUFFIX","POSTMILE_PREFIX","POSTMILE","LOCATION_TYPE","RAMP_INTERSECTION","SIDE_OF_HWY","TOW_AWAY","COLLISION_SEVERITY","NUMBER_KILLED","NUMBER_INJURED","PARTY_COUNT","PRIMARY_COLL_FACTOR","PCF_CODE_OF_VIOL","PCF_VIOL_CATEGORY","PCF_VIOLATION","PCF_VIOL_SUBSECTION","HIT_AND_RUN","TYPE_OF_COLLISION","MVIW","PED_ACTION","ROAD_SURFACE","ROAD_COND_1","ROAD_COND_2","LIGHTING","CONTROL_DEVICE","CHP_ROAD_TYPE","PEDESTRIAN_ACCIDENT","BICYCLE_ACCIDENT","MOTORCYCLE_ACCIDENT","TRUCK_ACCIDENT","NOT_PRIVATE_PROPERTY","ALCOHOL_INVOLVED","STWD_VEHTYPE_AT_FAULT","CHP_VEHTYPE_AT_FAULT","COUNT_SEVERE_INJ","COUNT_VISIBLE_INJ","COUNT_COMPLAINT_PAIN","COUNT_PED_KILLED","COUNT_PED_INJURED","COUNT_BICYCLIST_KILLED","COUNT_BICYCLIST_INJURED","COUNT_MC_KILLED","COUNT_MC_INJURED","PRIMARY_RAMP","SECONDARY_RAMP","LATITUDE","LONGITUDE","COUNTY","CITY","POINT_X","POINT_Y"
"81391838","2021","2021-01-21","3706","2021-01-15","1740","528","ESCON","5","5","6","3706","0","0","0",,"0","046","MIDWAY DR","WASHINGTON AV","660.00","S","Y","A","-","N",,,,,,,,,,"Y","4","0","1","2","A","-","09","21804","A","N","F","C","A","-","H","-","C","D","0",,,"Y",,"Y",,"-","99","0","0","1","0","0","0","0","0","1","- ","- ","33.141578674316406","-117.0538330078125","SAN DIEGO","ESCONDIDO","-117.05301666259766","33.139850616455078"
"81409632","2021","2021-02-17","3701","2021-02-14","1759","CB5493",,"7","5","5","3701","0","0","0",,"0",,"CARLSBAD BL","TAMARACK AV","2649.00","S","N","A","-","N",,,,,,,,,,"N","3","0","1","2","A","-","08","22107",,"N","B","C","A","A","H","-","C","D","0",,,"Y",,"Y",,"A","01","0","1","0","0","0","0","0","0","1","- ","- ","33.147430419921875","-117.34551239013672","SAN DIEGO","CARLSBAD","-117.34055328369141","33.14154052734375"
"81412048","2021","2021-02-22","3701","2021-02-11","1808","CB5547","045","4","5","5","3701","0","0","0",,"0","004","EL CAMINO REAL","WEST RANCH ST","1282.00","N","N","A","-","N",,,,,,,,,,"Y","3","0","1","1","A","-","08","22107",,"N","E","I","A","A","H","-","C","D","0",,,"Y",,"Y",,"C","02","0","1","0","0","0","0","0","0","1","- ","- ","33.152118682861328","-117.30233764648438","SAN DIEGO","CARLSBAD","-117.30336761474609","33.151630401611328"
"81412052","2021","2021-02-22","3701","2021-02-14","1654","CB5566","001","7","5","5","3701","0","0","0",,"0","001","JEFFERSON ST","LAS FLORES DR","3696.00","N","N","A","-","N",,,,,,,,,,"N","3","0","1","1","A","-","03","22350",,"N","E","I","A","A","H","-","A","D","0",,,"Y",,"Y",,"C","03","0","1","0","0","0","0","0","0","1","- ","- ","33.171619415283203","-117.34715270996094","SAN DIEGO","CARLSBAD","-117.34144592285156","33.177886962890625"
"81422944","2021","2021-03-09","3706","2021-03-04","1452","1833","ESCON","4","5","6","3706","0","0","0",,"0","043","NUTMEG ST","GARY LN","0.00",,"Y","A","-","N",,,,,,,,,,"Y","3","0","1","2","A","-","09","21801","A","N","D","C","A","A","H","-","A","A","0",,,"Y",,"Y",,"A","01","0","1","0","0","0","0","0","0","1","- ","- ","33.159900665283203","-117.10915374755859","SAN DIEGO","ESCONDIDO","-117.10924530029297","33.159889221191406"
"81428746","2021","2021-03-17","3706","2021-02-11","1111","318","ESCON","4","5","6","3706","0","0","0",,"0","052","VALLEY PY","ORANGE ST","0.00",,"Y","A","-","Y",,,,,,,,,,"Y","2","0","1","1","A","-","03","22350",,"N","E","I","A","A","H","-","A","D","0",,,"Y",,"Y",,"C","02","1","0","0","0","0","0","0","0","1","- ","- ","33.120380401611328","-117.08650970458984","SAN DIEGO","ESCONDIDO","-117.08615875244141","33.120574951171875"
"81432744","2021","2021-03-23","3706","2021-03-19","1300","519","ESCON","5","5","6","3706","0","0","0",,"0","045","MORNING VIEW DR","LINCOLN AV","1315.00","N","N","A","-","N",,,,,,,,,,"Y","3","0","1","2","A","-","09","21804","A","N","D","C","A","A","H","-","A","D","0",,,"Y",,"Y",,"A","01","0","1","0","0","0","0","0","0","1","- ","- ","33.131359100341797","-117.09443664550781","SAN DIEGO","ESCONDIDO","-117.09484100341797","33.134975433349609"
"81438862","2021","2021-03-30","3706","2021-03-06","1801","322","ESCON","6","5","6","3706","0","0","0",,"0","052","JUNIPER ST","02ND AV","72.00","S","N","A","-","N",,,,,,,,,,"Y","1","1","0","1","A","-","03","22350",,"N","E","J","A","A","H","-","C","A","0",,,"Y",,"Y",,"C","02","0","0","0","0","0","0","0","1","0","- ","- ","33.122100830078125","-117.07804870605469","SAN DIEGO","ESCONDIDO","-117.07796500000001","33.121934000000003"
"81438874","2021","2021-03-30","3706","2021-03-18","1315","318","ESCON","4","5","6","3706","0","0","0",,"0","051","BEAR VALLEY PY","BEETHOVEN DR","49.00","S","N","A","-","N",,,,,,,,,,"N","3","0","1","2","A","-","07","21658","A","F","B","C","A","A","D","-","A","D","0",,,"Y",,"Y",,"A","01","0","1","0","0","0","0","0","0","1","- ","- ","33.068958282470703","-117.06111907958984","SAN DIEGO","ESCONDIDO","-117.06098937988281","33.069190979003906"
"81438878","2021","2021-03-30","3706","2021-03-22","2119","542","ESCON","1","5","6","3706","0","0","0",,"0","042","WASHINGTON AV","ELM ST (E)","90.00","E","N","A","-","N",,,"78",,,,,,,"N","2","0","1","2","A","-","08","22107",,"N","D","G","A","A","H","-","D","A","0",,"Y","Y",,"Y","Y","L","04","1","0","0","0","0","0","1","0","0","- ","- ","33.130058288574219","-117.07404327392578","SAN DIEGO","ESCONDIDO","-117.07402801513672","33.130020141601562"
