CASE_ID,ACCIDENT_YEAR,PROC_DATE,JURIS,COLLISION_DATE,COLLISION_TIME,OFFICER_ID,REPORTING_DISTRICT,DAY_OF_WEEK,CHP_SHIFT,POPULATION,CNTY_CITY_LOC,SPECIAL_COND,BEAT_TYPE,CHP_BEAT_TYPE,CITY_DIVISION_LAPD,CHP_BEAT_CLASS,BEAT_NUMBER,PRIMARY_RD,SECONDARY_RD,DISTANCE,DIRECTION,INTERSECTION,WEATHER_1,WEATHER_2,STATE_HWY_IND,CALTRANS_COUNTY,CALTRANS_DISTRICT,STATE_ROUTE,ROUTE_SUFFIX,POSTMILE_PREFIX,POSTMILE,LOCATION_TYPE,RAMP_INTERSECTION,SIDE_OF_HWY,TOW_AWAY,COLLISION_SEVERITY,NUMBER_KILLED,NUMBER_INJURED,PARTY_COUNT,PRIMARY_COLL_FACTOR,PCF_CODE_OF_VIOL,PCF_VIOL_CATEGORY,PCF_VIOLATION,PCF_VIOL_SUBSECTION,HIT_AND_RUN,TYPE_OF_COLLISION,MVIW,PED_ACTION,ROAD_SURFACE,ROAD_COND_1,ROAD_COND_2,LIGHTING,CONTROL_DEVICE,CHP_ROAD_TYPE,PEDESTRIAN_ACCIDENT,BICYCLE_ACCIDENT,MOTORCYCLE_ACCIDENT,TRUCK_ACCIDENT,NOT_PRIVATE_PROPERTY,ALCOHOL_INVOLVED,STWD_VEHTYPE_AT_FAULT,CHP_VEHTYPE_AT_FAULT,COUNT_SEVERE_INJ,COUNT_VISIBLE_INJ,COUNT_COMPLAINT_PAIN,COUNT_PED_KILLED,COUNT_PED_INJURED,COUNT_BICYCLIST_KILLED,COUNT_BICYCLIST_INJURED,COUNT_MC_KILLED,COUNT_MC_INJURED,PRIMARY_RAMP,SECONDARY_RAMP,LATITUDE,LONGITUDE,COUNTY,CITY,POINT_X,POINT_Y
81384521,2021,2021-01-11,3015,2021-01-06,1428,1651,RD57S,3,5,6,3015,0,0,0,,0,711M,"E. LINCOLN AVE","N. SANTA FE PL",50.00,E,N,A,-,N,,,,,,,,,,Y,2,0,1,1,A,-,03,22350,,N,H,J,A,A,H,-,A,D,0,,,Y,,Y,,C,02,1,0,0,0,0,0,0,0,1,"- ","- ",,,ORANGE,ORANGE,-117.84700775146484,33.836189270019531
81385592,2021,2021-01-12,3001,2021-01-07,1623,A1047,,4,5,7,3001,0,0,0,,0,D-1,"BROOKHURST STREET","CRESCENT AVENUE",166.00,N,N,A,-,N,,,,,,,,,,Y,2,0,1,2,A,-,03,22350,,N,C,C,A,A,H,-,A,A,0,,,Y,,Y,,C,02,1,0,0,0,0,0,0,0,1,"- ","- ",33.839550018310547,-117.95919036865234,ORANGE,ANAHEIM,-117.95906066894531,33.840274810791016
81390140,2021,2021-01-18,3014,2021-01-04,1129,1418,RD29,1,5,5,3014,0,0,0,,0,"A2  ","DOVER DR","WESTCLIFF DR",0.00,,N,A,-,N,,,,,,,,,,Y,2,0,1,2,A,-,09,21802,,N,D,C,A,A,H,-,A,D,0,,,Y,,Y,,A,01,1,0,0,0,0,0,0,0,1,"- ","- ",,,ORANGE,"NEWPORT BEACH",-117.90422821044922,33.625186920166016
81390315,2021,2021-01-19,3001,2021-01-17,1848,A2440,D-2,7,5,7,3001,0,0,0,,0,D-2,"LINCOLN AVENUE","ILLINOIS STREET",0.00,,Y,A,-,N,,,,,,,,,,Y,3,0,1,2,A,-,09,21804,A,N,D,C,A,A,H,-,C,A,0,,,Y,,Y,,A,08,0,1,0,0,0,0,0,0,1,"- ","- ",33.832740783691406,-117.92588806152344,ORANGE,ANAHEIM,-117.92584991455078,33.832744598388672
81390327,2021,2021-01-19,3010,2021-01-15,1115,3042,252,5,5,6,3010,0,0,0,,0,007,"HEIL AVE","GOTHARD ST",175.00,E,N,A,-,N,,,,,,,,,,Y,4,0,1,2,A,-,09,21804,A,N,D,C,A,A,H,-,A,D,0,,,Y,,Y,,A,01,0,0,1,0,0,0,0,0,1,"- ","- ",33.721839904785156,-118.00007629394531,ORANGE,"HUNTINGTON BEACH",-117.99956512451172,33.722858428955078
81391842,2021,2021-01-21,3001,2021-01-03,0914,A2110,D-3,7,5,7,3001,0,0,0,,0,D-3,"HARBOR BOULEVARD","CONVENTION WAY",0.00,,Y,A,-,N,,,,,,,,,,Y,3,0,1,2,A,-,12,21453,A,N,D,C,A,A,H,-,A,A,0,,,Y,,Y,,C,02,0,1,0,0,0,0,0,0,1,"- ","- ",33.798549652099609,-117.91571807861328,ORANGE,ANAHEIM,-117.91529083251953,33.799671173095703
81396081,2021,2021-01-28,3014,2021-01-14,1658,1462,RD44,4,5,5,3014,0,0,0,,0,"A4  ","MARGUERITE AVE","BAYSIDE DR",0.00,,Y,A,-,N,,,,,,,,,,N,3,0,1,2,A,-,06,21750,A,N,D,C,A,A,H,-,A,D,0,,,Y,,Y,,C,02,0,1,0,0,0,0,0,0,1,"- ","- ",33.596000671386719,-117.87120056152344,ORANGE,"NEWPORT BEACH",-117.87123107910156,33.595954895019531
81398234,2021,2021-01-29,3015,2021-01-15,1415,1098,35E,5,5,6,3015,0,0,0,,0,731M,"BATAVIA ST","STRUCK AVE",713.00,S,N,A,-,N,,,,,,,,,,Y,2,0,1,1,A,-,03,22350,,N,A,I,A,A,H,-,A,D,0,,,Y,,Y,,C,03,1,0,0,0,0,0,0,0,1,"- ","- ",33.806129455566406,-117.86180114746094,ORANGE,ORANGE,-117.86174011230469,33.804065704345703
81399110,2021,2021-02-01,3001,2021-01-22,1805,A2292,D-1,5,5,7,3001,0,0,0,,0,D-1,"BALL ROAD","HALLIDAY STREET",12.00,E,N,B,-,N,,,,,,,,,,Y,2,0,1,2,A,-,09,21801,A,N,D,C,A,A,H,-,C,D,0,,,Y,,Y,,A,01,1,0,0,0,0,0,0,0,1,"- ","- ",33.817310333251953,-117.99678802490234,ORANGE,ANAHEIM,-117.99668884277344,33.817378997802734
81402071,2021,2021-02-03,3007,2021-01-20,1811,301,45,3,5,5,3007,0,0,0,,0,001,SLATER,"SAN MATEO",0.00,,Y,A,-,N,,,,,,,,,,N,3,0,1,1,A,-,03,22350,,N,H,A,A,A,H,-,C,A,0,,,Y,,Y,,C,02,0,1,0,0,0,0,0,0,1,"- ","- ",,,ORANGE,"FOUNTAIN VALLEY",-117.95133972167969,33.708950042724609
81404836,2021,2021-02-09,3010,2021-01-30,2256,2090,178,6,5,6,3010,0,0,0,,0,007,"WARNER AVE","SPRINGDALE ST",705.00,W,N,A,-,N,,,,,,,,,,Y,2,0,1,1,A,-,03,22350,,N,F,I,A,A,G,-,C,D,0,,,Y,,Y,,C,02,1,0,0,0,0,0,0,0,1,"- ","- ",33.715450286865234,-118.02381134033203,ORANGE,"HUNTINGTON BEACH",-118.02628326416016,33.715362548828125
81406526,2021,2021-02-11,3024,2021-01-06,1301,184,P-17,3,5,5,3024,0,0,0,,0,WEST,"OLIVE STREET","PARK STREET",0.00,,Y,A,-,N,,,,,,,,,,N,3,0,1,1,A,-,21,22106,,N,E,I,A,A,H,-,A,A,0,,,Y,,Y,,C,02,0,1,0,0,0,0,0,0,1,"- ","- ",33.756729125976562,-118.00064849853516,ORANGE,WESTMINSTER,-118.00057983398438,33.756786346435547
81408470,2021,2021-02-16,3001,2021-02-09,1750,A2292,D-3,2,5,7,3001,0,0,0,,0,D-3,"WALNUT STREET","KIMBERLY PLACE",170.00,S,N,B,-,N,,,,,,,,,,N,3,0,1,2,A,-,08,22107,,N,B,C,A,A,H,-,C,D,0,,,Y,,Y,,D,22,0,1,0,0,0,0,0,0,1,"- ","- ",33.805618286132812,-117.92833709716797,ORANGE,ANAHEIM,-117.92840576171875,33.805194854736328
81409510,2021,2021-02-17,3015,2021-02-10,1459,1240,RD84,3,5,6,3015,0,0,0,,0,723-M,"CANNON ST","PINYON PINE DR",140.00,N,N,A,-,N,,,,,,,,,,Y,4,0,1,2,A,-,03,22350,,M,C,C,A,A,H,-,A,D,0,,,Y,,Y,,D,22,0,0,1,0,0,0,0,0,1,"- ","- ",33.794139862060547,-117.79271697998047,ORANGE,ORANGE,-117.79258728027344,33.794486999511719
81409566,2021,2021-02-17,3010,2021-02-12,1749,4094,436,5,5,6,3010,0,0,0,,0,003,"BROOKHURST ST","BEACHMONT PLAZA",0.00,,Y,A,-,N,,,,,,,,,,Y,3,0,1,2,A,-,09,21801,A,N,D,C,A,A,H,-,C,A,0,,,Y,,Y,,A,01,0,1,0,0,0,0,0,0,1,"- ","- ",,,ORANGE,"HUNTINGTON BEACH",,
81410302,2021,2021-02-17,3014,2021-02-07,1254,1418,RD15,7,5,5,3014,0,0,0,,0,"A1  ","MCFADDEN PL","22ND ST",30.00,S,N,A,-,N,,,,,,,,,,N,2,0,1,1,A,-,03,22350,,N,F,A,A,A,H,-,A,D,0,,,Y,,Y,,C,03,1,0,0,0,0,0,0,0,1,"- ","- ",,,ORANGE,"NEWPORT BEACH",,
81413140,2021,2021-02-23,3001,2021-02-12,1159,A2332,D-1,5,5,7,3001,0,0,0,,0,D-1,"LINCOLN AVENUE","MULLER STREET",24.00,W,Y,A,-,N,,,,,,,,,,Y,3,0,1,2,A,-,09,21801,A,N,E,I,A,A,H,-,A,A,0,,,Y,,Y,,H,13,0,1,0,0,0,0,0,0,1,"- ","- ",33.831821441650391,-117.95001220703125,ORANGE,ANAHEIM,-117.95024108886719,33.83245849609375
81413176,2021,2021-02-23,3010,2021-02-21,1338,1225,359,7,5,6,3010,0,0,0,,0,004,"PACIFIC COAST HWY - SR1","17TH ST (S)",17.00,E,N,A,-,Y,,,1,,,,,,,N,3,0,1,1,A,-,08,22107,,N,E,I,A,A,H,-,A,A,0,,,Y,,Y,,C,02,0,1,0,0,0,0,0,0,1,"- ","- ",33.664798736572266,-118.01255798339844,ORANGE,"HUNTINGTON BEACH",-118.01252746582031,33.664840698242188
