"CASE_ID","ACCIDENT_YEAR","PROC_DATE","JURIS","COLLISION_DATE","COLLISION_TIME","OFFICER_ID","REPORTING_DISTRICT","DAY_OF_WEEK","CHP_SHIFT","POPULATION","CNTY_CITY_LOC","SPECIAL_COND","BEAT_TYPE","CHP_BEAT_TYPE","CITY_DIVISION_LAPD","CHP_BEAT_CLASS","BEAT_NUMBER","PRIMARY_RD","SECONDARY_RD","DISTANCE","DIRECTION","INTERSECTION","WEATHER_1","WEATHER_2","STATE_HWY_IND","CALTRANS_COUNTY","CALTRANS_DISTRICT","STATE_ROUTE","ROUTE_SUFFIX","POSTMILE_PREFIX","POSTMILE","LOCATION_TYPE","RAMP_INTERSECTION","SIDE_OF_HWY","TOW_AWAY","COLLISION_SEVERITY","NUMBER_KILLED","NUMBER_INJURED","PARTY_COUNT","PRIMARY_COLL_FACTOR","PCF_CODE_OF_VIOL","PCF_VIOL_CATEGORY","PCF_VIOLATION","PCF_VIOL_SUBSECTION","HIT_AND_RUN","TYPE_OF_COLLISION","MVIW","PED_ACTION","ROAD_SURFACE","ROAD_COND_1","ROAD_COND_2","LIGHTING","CONTROL_DEVICE","CHP_ROAD_TYPE","PEDESTRIAN_ACCIDENT","BICYCLE_ACCIDENT","MOTORCYCLE_ACCIDENT","TRUCK_ACCIDENT","NOT_PRIVATE_PROPERTY","ALCOHOL_INVOLVED","STWD_VEHTYPE_AT_FAULT","CHP_VEHTYPE_AT_FAULT","COUNT_SEVERE_INJ","COUNT_VISIBLE_INJ","COUNT_COMPLAINT_PAIN","COUNT_PED_KILLED","COUNT_PED_INJURED","COUNT_BICYCLIST_KILLED","COUNT_BICYCLIST_INJURED","COUNT_MC_KILLED","COUNT_MC_INJURED","PRIMARY_RAMP","SECONDARY_RAMP","LATITUDE","LONGITUDE","COUNTY","CITY","POINT_X","POINT_Y"
"81399131","2021","2021-02-01","3607","2021-01-16","1337","20153","41","6","5","6","3607","0","0","0",,"0","011","MOUNTAIN AV","FOURTH ST","360.00","N","N","A","-","N",,,,,,,,,,"Y","3","0","1","2","A","-","03","22350",,"N","C","C","A","A","H","-","A","A","0",,,"Y",,"Y",,"C","02","0","1","0","0","0","0","0","0","1","- ","- ",,,"SAN BERNARDINO","ONTARIO","-117.67011260986328","34.078857421875"
"81417348","2021","2021-03-01","3607","2021-02-19","1055","80334","339","5","5","6","3607","0","0","0",,"0","041","ONTARIO MILLS PW","ETIWANDA AV","1320.00","W","N","A","-","N",,,,,,,,,,"Y","4","0","1","1","A","-","03","22350",,"N","E","I","A","A","H","-","A","A","0",,,"Y",,"Y",,"C","03","0","0","1","0","0","0","0","0","1","- ","- ",,,"SAN BERNARDINO","ONTARIO","-117.52824401855469","34.070053100585938"
"81419449","2021","2021-03-03","3607","2021-01-30","1750","80510","690","6","5","6","3607","0","0","0",,"0","082","ONTARIO RANCH RD","SOUTH SUNRISE","300.00","E","N","A","-","N",,,,,,,,,,"Y","3","0","1","1","A","-","03","22350",,"N","E","I","A","A","H","-","C","D","0",,,"Y",,"Y",,"C","02","0","1","0","0","0","0","0","0","1","- ","- ",,,"SAN BERNARDINO","ONTARIO","-117.57020568847656","34.000858306884766"
"81424822","2021","2021-03-11","3607","2021-03-01","0845","80546","235","1","5","6","3607","0","0","0",,"0","062","FRANCIS ST","CAMPUS AV","400.00","E","N","A","-","N",,,,,,,,,,"Y","4","0","1","2","A","-","03","22350",,"N","C","C","A","A","H","-","A","D","0",,,"Y",,"Y",,"A","07","0","0","1","0","0","0","0","0","1","- ","- ",,,"SAN BERNARDINO","ONTARIO","-117.64025115966797","34.041145324707031"
"81424836","2021","2021-03-11","3607","2021-03-05","0441","20310","253","5","5","6","3607","0","0","0",,"0","071","PHILADELPHIA ST","PROFORMA AV","180.00","E","N","A","-","N",,,,,,,,,,"Y","4","0","1","1","A","-","08","22107",,"N","E","I","A","A","H","-","C","D","0",,,"Y",,"Y",,"C","02","0","0","1","0","0","0","0","0","1","- ","- ",,,"SAN BERNARDINO","ONTARIO","-117.59587860107422","34.033786773681641"
"81424840","2021","2021-03-11","3607","2021-03-05","1652","20470","53","5","5","6","3607","0","0","0",,"0","011","BENSON AV","J ST","0.00",,"Y","A","-","N",,,,,,,,,,"N","3","0","1","2","A","-","09","21802","A","N","D","C","A","A","H","-","A","A","0",,,"Y",,"Y",,"A","01","0","1","0","0","0","0","0","0","1","- ","- ","34.076019287109375","-117.68080902099609","SAN BERNARDINO","ONTARIO","-117.68083190917969","34.075969696044922"
"81424851","2021","2021-03-11","3607","2021-03-09","0553","80522",,"2","5","6","3607","0","0","0",,"0",,"INLAND EMPIRE BL","VINEYARD AV","500.00","E","N","A","-","N",,,,,,,,,,"N","3","0","2","2","A","-","12","21453","A","N","D","C","A","A","H","-","A","A","0",,,"Y",,"Y",,"A","01","0","1","1","0","0","0","0","0","1","- ","- ",,,"SAN BERNARDINO","ONTARIO","-117.60939025878906","34.073207855224609"
"81442364","2021","2021-04-05","3607","2021-03-27","1656","80349","306","6","5","6","3607","0","0","0",,"0","MILL","FOURTH ST","FRANKLIN AV","0.00",,"Y","A","-","N",,,,,,,,,,"N","4","0","1","2","A","-","08","22107",,"N","B","C","A","A","H","-","A","A","0",,,"Y",,"Y",,"C","02","0","0","1","0","0","0","0","0","1","- ","- ",,,"SAN BERNARDINO","ONTARIO","-117.55024719238281","34.0771484375"
"81443657","2021","2021-04-06","3607","2021-03-20","0549","20264","30","6","5","6","3607","0","0","0",,"0","031","GROVE AV","FIFTH ST (N)","500.00","N","N","C","-","N",,,,,,,,,,"Y","4","0","1","2","A","-","21","22106",,"N","B","C","A","B","H","-","D","D","0",,,"Y",,"Y",,"A","07","0","0","1","0","0","0","0","0","1","- ","- ",,,"SAN BERNARDINO","ONTARIO","-117.62857055664062","34.082630157470703"
"81443661","2021","2021-04-06","3607","2021-03-30","0647","19999","131","2","5","6","3607","0","0","0",,"0","022","HOLT BL","CUCAMONGA AV","300.00","W","N","A","-","N",,,,,,,,,,"N","2","0","1","2","A","-","03","22350",,"N","C","D","A","A","H","-","A","D","0",,,"Y",,"Y",,"A","01","1","0","0","0","0","0","0","0","1","- ","- ",,,"SAN BERNARDINO","ONTARIO","-117.63291931152344","34.063400268554688"
