ACCIDENT_YEAR,JURIS,COLLISION_DATE,COLLISION_TIME,DAY_OF_WEEK,CHP_SHIFT,INTERSECTION,WEATHER_1,WEATHER_2,STATE_HWY_IND,LOCATION_TYPE,RAMP_INTERSECTION,TOW_AWAY,COLLISION_SEVERITY,NUMBER_KILLED,NUMBER_INJURED,PARTY_COUNT,PRIMARY_COLL_FACTOR,PCF_CODE_OF_VIOL,PCF_VIOL_CATEGORY,PCF_VIOLATION,PCF_VIOL_SUBSECTION,HIT_AND_RUN,TYPE_OF_COLLISION,ROAD_SURFACE,ROAD_COND_1,ROAD_COND_2,LIGHTING,CONTROL_DEVICE,CHP_ROAD_TYPE,MOTORCYCLE_ACCIDENT,ALCOHOL_INVOLVED,STWD_VEHTYPE_AT_FAULT,CHP_VEHTYPE_AT_FAULT,COUNT_SEVERE_INJ,COUNT_VISIBLE_INJ,COUNT_COMPLAINT_PAIN,COUNT_MC_KILLED,COUNT_MC_INJURED,LATITUDE,LONGITUDE,COUNTY,CITY,POINT_X,POINT_Y,IS_WEEKEND,TIME_OF_DAY,SEVERE_FATAL
2021,1942,2021-01-11,1440,1,5,N,A,-,N,,,Y,1,1,0,3,A,-,05,21650.0,,N,A,A,H,-,A,D,0,Y,Y,C,02,0,0,0,1,0,,,LOS ANGELES,LOS ANGELES,-118.46854400634766,34.071571350097656,0,Midday,1
2021,1942,2021-01-10,1153,7,5,N,A,-,N,,,Y,3,0,1,3,A,-,07,21658.0,,F,C,A,H,-,A,D,0,Y,,-,99,0,1,0,0,1,,,LOS ANGELES,LOS ANGELES,-118.38893127441406,34.036380767822266,1,Midday,0
2021,1942,2021-01-26,1400,2,5,Y,A,-,N,,,Y,2,0,1,2,A,-,09,21801.0,,N,D,A,H,-,A,A,0,Y,,D,22,1,0,0,0,1,,,LOS ANGELES,LOS ANGELES,-118.34403228759766,34.068904876708984,0,Midday,1
2021,1942,2021-01-19,1330,2,5,Y,A,-,N,,,N,4,0,1,2,A,-,07,21658.0,,N,B,A,H,-,A,A,0,Y,,A,01,0,0,1,0,1,,,LOS ANGELES,LOS ANGELES,-118.29998016357422,34.049068450927734,0,Midday,0
2021,1933,2021-01-25,856,1,5,N,A,-,N,,,N,4,0,1,2,A,-,17,21663.0,,N,D,A,H,-,A,D,0,Y,,C,03,0,0,1,0,1,33.936798095703125,-118.34390258789062,LOS ANGELES,INGLEWOOD,-118.34391784667967,33.93665313720703,0,Morning,0
2021,1933,2021-01-25,1319,1,5,Y,A,-,N,,,N,4,0,2,2,A,-,03,22350.0,,N,C,A,H,-,A,A,0,Y,,C,03,0,0,2,0,2,33.94546890258789,-118.34391784667967,LOS ANGELES,INGLEWOOD,-118.3439483642578,33.94545364379883,0,Midday,0
2021,1942,2021-02-06,810,6,5,Y,A,-,N,,,Y,4,0,1,1,A,-,03,22350.0,,N,E,A,H,-,A,D,0,Y,,C,02,0,0,1,0,1,,,LOS ANGELES,LOS ANGELES,-118.41808319091795,33.99503326416016,1,Morning,0
2021,1933,2021-02-16,946,2,5,N,A,-,N,,,Y,3,0,1,1,A,-,03,22350.0,,N,E,A,H,-,A,B,0,Y,,C,02,0,1,0,0,1,33.96175003051758,-118.32671356201172,LOS ANGELES,INGLEWOOD,-118.32672882080078,33.96177673339844,0,Morning,0
2021,1942,2021-02-10,1740,3,5,Y,A,-,N,,,Y,2,0,1,2,A,-,09,21801.0,,N,D,A,H,-,B,D,0,Y,,A,01,1,0,0,0,1,,,LOS ANGELES,LOS ANGELES,-118.34291076660156,34.064918518066406,0,Evening,1
2021,1942,2021-02-17,1655,3,5,N,A,-,N,,,Y,2,0,1,3,A,-,17,22517.0,,N,B,A,H,-,A,D,0,Y,,A,01,1,0,0,0,1,,,LOS ANGELES,LOS ANGELES,-118.46711730957033,33.99074935913086,0,Evening,1
