County,Year, Total Registrations ,Motorcycle Registration,Auto Registration,Truck Registration,Other Registration,,,,,,,,
LOS ANGELES,2021,7989032,155065,6386830,1150957,296180,,,,,,,,
LOS ANGELES,2022,7848098,150464,6291868,1136152,269614,,,,,,,,
LOS ANGELES,2023,7777406,144037,6229731,1123162,280476,,,,,,,,
LOS ANGELES,2024,7776731,139137,6235778,1126000,275816,,,,,,,,
RIVERSIDE,2021,2196259,51917,1529684,426284,188374,,,,,,,,
RIVERSIDE,2022,2169481,51179,1518385,423550,176367,,,,,,,,
RIVERSIDE,2023,2175319,49680,1530007,425819,169813,,,,,,,,
RIVERSIDE,2024,2217217,48503,1548566,433106,187042,,,,,,,,
SAN BERNARDINO,2021,2007084,46202,1375600,394586,190696,,,,,,,,
SAN BERNARDINO,2022,1970875,45168,1355787,390199,179721,,,,,,,,
SAN BERNARDINO,2023,1967257,43650,1353131,388013,182463,,,,,,,,
SAN BERNARDINO,2024,1981991,41840,1362756,389828,187567,,,,,,,,
SAN DIEGO,2021,3038801,86269,2260632,500471,191429,,,,,,,,
SAN DIEGO,2022,2996268,85451,2239148,494161,177508,,,,,,,,
SAN DIEGO,2023,2997003,83858,2242511,493221,177413,,,,,,,,
SAN DIEGO,2024,3022490,82352,2253084,500744,186310,,,,,,,,
ORANGE,2021,2876125,60120,2271305,423391,121309,,,,,,,,
ORANGE,2022,2884366,59050,2289997,422602,112717,,,,,,,,
ORANGE,2023,2937299,57140,2333280,424072,122807,,,,,,,,
ORANGE,2024,2967267,55570,2363684,428236,119777,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
